from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
H2AFX	HIST2H2AB		0	predicted	-	1	predicted
H2AFX	HIST2H2BF		0	complex	-	1	PPrel
H2AFX	MND1		0	activated by	<-	1	PPrel
H2AFX	PSMB3		0	predicted	-	0.64	predicted
H2AFX	RPS27A		0	catalyze; input	->	1	PPrel
H2AFX	UBC		0	catalyze; input	->	1	PPrel
H2AFX	UBE2N		0	activated by; complex; input	<-	1	PPrel
H3F3C	HIST1H2BB		0	predicted	-	0.98	predicted
H3F3C	HIST1H2BC		0	predicted	-	0.98	predicted
H3F3C	HIST1H2BM		0	predicted	-	0.98	predicted
H3F3C	HIST1H4G		0	complex	-	1	PPrel
H3F3C	HIST2H2BF		0	predicted	-	0.98	predicted
HES5	MYC		0	GErel: expression	->	1	GErel
HES5	NOTCH2		0	GErel: expression by	<-	1	GErel
HIF1A	ABCG2	A	1			0	other
HIF1A	ANGPT2	A	1			0	other
HIF1A	APLN	A	1			0	other
HIF1A	BCL2L1	A	1			0	other
HIF1A	CCL2	A	1			0	other
HIF1A	CEACAM5	A	1			0	other
HIF1A	EPO	A	1			0	other
HIF1A	ID2	A	1			0	other
HIF1A	LGALS1	A	1			0	other
HIF1A	MYC		0	predicted	-	0.97	predicted
HIF1A	NDRG2		0	predicted	-	0.64	predicted
HIF1A	NOS2	A	1	GErel: expression; expression regulates	->	1	GErel
HIF1A	NPAS2		0	reaction	-	1	ECrel
HIF1A	NR4A3	A	1			0	other
HIF1A	NTN1	A	1			0	other
HIF1A	PSMB3		0	catalyzed by	<-	1	PPrel
HIF1A	RELA		0	GErel: expression by	<-	1	GErel
HIF1A	RORC		0	catalyzed by	<-	1	PPrel
HIF1A	RPS27A		0	catalyze; complex; input	->	1	PPrel
HIF1A	RRAS2		0	PPrel: activated, indirect effect	<-	1	PPrel
HIF1A	SIRT6		0	PPrel: inhibited by	|-	1	PPrel
HIF1A	SMAD3		0	complex; input	-	1	PPrel
HIF1A	SREBF1		0	expression regulated by	<-	1	GErel
HIF1A	UBC		0	catalyze; complex; input	->	1	PPrel
HIF1A	UBE2D1		0	catalyze; input	->	1	PPrel
HIF1A	VEGFC		0	GErel: expression	->	1	GErel
HIST1H2BB	HIST1H4G		0	predicted	-	0.99	predicted
HIST1H2BB	HIST2H2AA3		0	complex	-	1	PPrel
HIST1H2BB	HIST2H2AB		0	complex	-	1	PPrel
HIST1H2BB	HIST2H2BF		0	predicted	-	0.96	predicted
HIST1H2BB	RPS27A		0	complex; input	-	1	PPrel
HIST1H2BB	UBC		0	complex; input	-	1	PPrel
HIST1H2BC	HIST1H4G		0	predicted	-	0.66	predicted
HIST1H2BM	HIST1H4G		0	predicted	-	0.66	predicted
HIST1H4G	HIST2H2BF		0	predicted	-	0.99	predicted
HIST2H2AA3	HIST2H2BF		0	complex	-	1	PPrel
HIST2H2AB	HIST2H2BF		0	complex	-	1	PPrel
HIVEP3	PSMB3		0	catalyzed by	<-	1	PPrel
HIVEP3	RPS27A		0	catalyze; input	->	1	PPrel
HIVEP3	UBC		0	catalyze; input	->	1	PPrel
HLF	RUNX1		0	expression regulates	->	1	GErel
HLX	IL12RB2		0	reaction	-	1	ECrel
HOMER2	NLGN1		0	complex; input	-	1	PPrel
HOXA1	RARG		0	activate	->	1	PPrel
HOXA1	RXRA		0	activate	->	1	PPrel
HOXA13	SMAD3		0	predicted	-	0.54	predicted
HSPA4	RELA		0	predicted	-	0.77	predicted
HSPB2	MAPK11		0	PPrel: activated by, phosphorylation	<-	1	PPrel
ID1	MYC		0	expression regulated by	<-	1	GErel
ID1	RXRA		0	expression regulated by	<-	1	GErel
ID2	ID4		0	predicted	-	0.98	predicted
ID2	OLIG2		0	predicted	-	0.97	predicted
ID2	PKD2		0	predicted	-	0.64	predicted
ID4	OLIG2		0	predicted	-	0.97	predicted
IFNA17	IFNA2		0	catalyze; catalyzed by; input	<->	1	PPrel
IFNA17	IL12RB2		0	PPrel: activation	->	1	PPrel
IFNA17	IL2RB		0	PPrel: activation	->	1	PPrel
IFNA17	IL3RA		0	PPrel: activation	->	1	PPrel
IFNA17	IL7R		0	PPrel: activation	->	1	PPrel
IFNA17	NFATC2		0	reaction	-	1	ECrel
IFNA17	OSMR		0	PPrel: activation	->	1	PPrel
IFNA17	RELA		0	GErel: expression by; PPrel: activated by	<-	1	GErel
IFNA2	IL12RB2		0	PPrel: activation	->	1	PPrel
IFNA2	IL2RB		0	PPrel: activation	->	1	PPrel
IFNA2	IL3RA		0	PPrel: activation	->	1	PPrel
IFNA2	IL7R		0	PPrel: activation	->	1	PPrel
IFNA2	NFATC2		0	reaction	-	1	ECrel
IFNA2	OSMR		0	PPrel: activation	->	1	PPrel
IFNA2	REL		0	predicted	-	0.54	predicted
IFNA2	RELA		0	GErel: expression by; PPrel: activated by	<-	1	GErel
IGF1	IRS2		0	activate; complex; input	->	1	PPrel
IGF1	IGFBP6		0	complex; input	-	1	PPrel
IL12RB2	IL2		0	PPrel: activated by; reaction	<-	1	ECrel
IL12RB2	IL2RB		0	reaction	-	1	ECrel
IL12RB2	IL3RA		0	complex; input	-	1	PPrel
IL12RB2	IL5		0	PPrel: activated by	<-	1	PPrel
IL12RB2	NFATC2		0	GErel: expression by	<-	1	GErel
IL12RB2	NOS2		0	activated by	<-	1	PPrel
IL12RB2	RELA		0	GErel: expression by	<-	1	GErel
IL2	IL2RB		0	PPrel: activation; complex; inhibited by; input	|->	1	PPrel
IL2	IL3RA		0	PPrel: activation	->	1	PPrel
IL2	IL7R		0	PPrel: activation	->	1	PPrel
IL2	IRS2		0	complex; input	-	1	PPrel
IL2	MAP2K1		0	activate; reaction	->	1	ECrel
IL2	MAPK11		0	activate	->	1	PPrel
IL2	NFATC2		0	GErel: expression by	<-	1	GErel
IL2	OSMR		0	PPrel: activation	->	1	PPrel
IL2	PTK2B		0	complex; input	-	1	PPrel
IL2	REL		0	expression regulated by	<-	1	GErel
IL2	RELA		0	GErel: expression by; expression regulated by	<-	1	GErel
IL2RB	IL3RA		0	complex; input	-	1	PPrel
IL2RB	IL5		0	PPrel: activated by	<-	1	PPrel
IL2RB	IRS2		0	complex; input	-	1	PPrel
IL2RB	MAP2K1		0	activate; reaction	->	1	ECrel
IL2RB	MAPK11		0	activate	->	1	PPrel
IL2RB	PTK2B		0	complex; input	-	1	PPrel
IL3RA	IL5		0	PPrel: activated by; catalyze; catalyzed by; input	<->	1	PPrel
IL5	IL7R		0	PPrel: activation	->	1	PPrel
IL5	NFATC2		0	GErel: expression by	<-	1	GErel
IL5	OSMR		0	PPrel: activation	->	1	PPrel
IL5	RELA		0	GErel: expression by	<-	1	GErel
IL7R	IRS2		0	complex; input	-	1	PPrel
IL7R	LPXN		0	predicted	-	0.98	predicted
IL7R	PRDX2		0	predicted	-	0.64	predicted
IL7R	VAV1		0	predicted	-	0.65	predicted
IRS2	PIK3R6		0	PPrel: activation	->	1	PPrel
IRS2	SREBF1		0	PPrel: inhibited, indirect effect	|-	1	PPrel
IRS2	VAV1		0	complex; input	-	1	PPrel
ITGAE	ITGB4		0	complex	-	1	PPrel
ITGAE	ITGB6		0	complex	-	1	PPrel
ITGAE	PTK2B		0	catalyzed by; complex; input	<-	1	PPrel
ITGB4	LAMC1		0	PPrel: activated by; complex; input	<-	1	PPrel
ITGB4	LAMC2		0	PPrel: activated by; complex; input	<-	1	PPrel
ITGB4	PTK2B		0	catalyzed by; complex; input	<-	1	PPrel
ITGB4	SEMA7A		0	predicted	-	0.54	predicted
ITGB4	TNN		0	PPrel: activated by	<-	1	PPrel
ITGB6	LAMC1		0	PPrel: activated by	<-	1	PPrel
ITGB6	LAMC2		0	PPrel: activated by	<-	1	PPrel
ITGB6	PTK2B		0	catalyzed by; complex; input	<-	1	PPrel
ITGB6	SEMA7A		0	predicted	-	0.54	predicted
ITGB6	TNN		0	PPrel: activated by	<-	1	PPrel
JAG1	NOTCH2		0	PPrel: activation; PPrel: inhibition; complex; input	-	1	PPrel
JAG1	RPS27A		0	complex; input	-	1	PPrel
JAG1	UBC		0	complex; input	-	1	PPrel
KCNC1	KCNV2		0	predicted	-	0.98	predicted
KCNE3	KCNQ1		0	predicted	-	0.64	predicted
KCNF1	KCNV2		0	predicted	-	0.98	predicted
KCNJ14	KCNJ6		0	predicted	-	0.97	predicted
KIF17	LIN7A		0	complex; input	-	1	PPrel
KIR2DS1	MICA		0	predicted	-	0.54	predicted
KIR2DS1	RAET1G		0	predicted	-	0.97	predicted
KIR2DS5	MICA		0	predicted	-	0.54	predicted
KIR2DS5	RAET1G		0	predicted	-	0.97	predicted
KLF4	NDRG2		0	predicted	-	0.64	predicted
KLF4	OCLN		0	predicted	-	0.64	predicted
KLF4	GPA33	A	1			0	other
KRT14	KRT81		0	complex; input	-	1	PPrel
KRT18	KRT81		0	complex; input	-	1	PPrel
KSR2	MAP2K1		0	predicted	-	0.64	predicted
LAMC2	MMP20		0	catalyzed by	<-	1	PPrel
LGALS1	UBE2N		0	predicted	-	0.64	predicted
LIN7A	PPFIA2		0	activate	->	1	PPrel
LPL	RXRA		0	GErel: expression by	<-	1	GErel
LPXN	PTK2B		0	predicted	-	0.99	predicted
MACC1	SIX5		0	expression regulated by	<-	1	GErel
MAP2K1	MAP3K1		0	PPrel: phosphorylated by; activated by	<-	1	PPrel
MAP2K1	MAPK11		0	PPrel: activation, phosphorylation	->	1	PPrel
MAP2K1	NTN1		0	activated by	<-	1	PPrel
MAP2K1	TRIB2		0	predicted	-	0.97	predicted
MAP3K1	MAPK11		0	PPrel: activation, indirect effect; activate	->	1	PPrel
MAP3K1	RELA		0	PPrel: activation, indirect effect; activate	->	1	PPrel
MAP3K1	RRAS2		0	PPrel	-	1	PPrel
MAP3K1	MARVELD3		0	PPrel: inhibited by	|-	1	PPrel
MAPK11	MYC		0	activate; catalyze	->	1	PPrel
MAPK11	NFATC2		0	PPrel: activation, indirect effect	->	1	PPrel
MAPK11	NOS2		0	GErel: expression; GErel: expression, indirect effect	->	1	GErel
MAPK11	RELA		0	PPrel: activation, indirect effect	->	1	PPrel
MAPK11	RORC		0	GErel: expression, indirect effect	->	1	GErel
MAPK11	SMAD3		0	PPrel: activation, phosphorylation, indirect effect	->	1	PPrel
MAPK11	SPAG9		0	complex; input	-	1	PPrel
MAPK11	ZAP70		0	PPrel: activated by, phosphorylation	<-	1	PPrel
MARVELD2	MARVELD3		0	predicted	-	0.64	predicted
MASP1	SERPING1		0	PPrel: inhibited by	|-	1	PPrel
MKRN3	UBE2N		0	predicted	-	0.98	predicted
MSX1	S1PR1		0	predicted	-	0.54	predicted
MSX1	SIX3		0	predicted	-	0.92	predicted
MTA3	NACC2		0	predicted	-	0.64	predicted
MTA3	NOTCH2		0	predicted	-	0.64	predicted
MTA3	NR2E1		0	reaction	-	1	ECrel
MTA3	NR4A3		0	predicted	-	0.54	predicted
MTA3	SIX3		0	predicted	-	0.54	predicted
MTA3	SNAI3		0	inhibit	-|	1	other
MTMR7	PIK3C2B		0	ECrel: compound	-	1	ECrel
MTMR7	PIP4K2A		0	ECrel: compound	-	1	ECrel
MTMR7	PLCE1		0	ECrel: compound	-	1	ECrel
MYC	ATP6V1G2	A	1			0	other
MYC	CEACAM5	A	1			0	other
MYC	HIF1A	A	1			0	other
MYC	HSPA4	A	1			0	other
MYC	ID2	A	1			0	other
MYC	IL2	A	1			0	other
MYC	MGST1	A	1			0	other
MYC	MST1	A	-1			0	other
MYC	NTN3	A	1			0	other
MYC	PRTN3	A	1			0	other
MYC	RELA		0	expression regulated by	<-	1	GErel
MYC	RPL11		0	activate; complex; input	->	1	PPrel
MYC	RPL3	A	1			0	other
MYC	RXRA		0	GErel: expression by	<-	1	GErel
MYC	SIM2	A	1			0	other
MYC	SIRT6		0	PPrel: inhibited by	|-	1	PPrel
MYC	SMAD3		0	GErel: expression by; GErel: repressed by; activated by; complex; expression regulated by; input; reaction	-	1	GErel
MYC	TEAD1		0	GErel: expression by	<-	1	GErel
MYC	TPM2	A	1			0	other
MYC	VEGFC		0	GErel: expression	->	1	GErel
MYC	TBRG4		0	expression regulates	->	1	GErel
MYC	ZNF281		0	predicted	-	0.64	predicted
MYC	DLEU2	A	-1			0	other
MYC	HIST2H4A	A	1			0	other
MYC	MTERF	A	1			0	other
MYC	SLC1A5		0	GErel: expression	->	1	GErel
MYC	UCP3	A	1			0	other
MYH11	MYLK		0	catalyzed by	<-	1	PPrel
MYH11	MYLPF		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
MYH11	RHOB		0	catalyzed by	<-	1	PPrel
MYH11	TPM2		0	catalyze; complex; input	->	1	PPrel
MYLK	MYLPF		0	PPrel: activation, phosphorylation; PPrel: phosphorylation; catalyze	->	1	PPrel
MYLPF	TPM2		0	catalyze; complex; input	->	1	PPrel
MYRIP	RAB27A		0	complex	-	1	PPrel
NACA	RPL24		0	predicted	-	0.59	predicted
NACA	RPS27A		0	predicted	-	0.59	predicted
NALCN	UNC80		0	complex	-	1	PPrel
NEUROD2	SIM2		0	predicted	-	0.92	predicted
NFATC2	CD40LG	A	1			0	other
NFATC2	FOXP3	A	1			0	other
NFATC2	IL2	A	1			0	other
NFATC2	IL5	A	1			0	other
NFATC2	NOTCH2		0	predicted	-	0.54	predicted
NFATC2	PPP3R2		0	PPrel: activated by, dephosphorylation; PPrel: dephosphorylated; catalyzed by	<-	1	PPrel
NFATC2	RUNX1		0	complex; input; reaction	-	1	ECrel
NFATC2	VAV1		0	PPrel: activated, indirect effect	<-	1	PPrel
NGEF	RHOB		0	catalyze	->	1	PPrel
NOS2	REL		0	predicted	-	0.54	predicted
NOS2	RELA		0	GErel: expression by; expression regulated by	<-	1	GErel
NOTCH2	RELA		0	predicted	-	0.54	predicted
NOTCH2	RPS27A		0	complex; input	-	1	PPrel
NOTCH2	UBC		0	complex; input	-	1	PPrel
NPAS2	RORC		0	GErel: expression	->	1	GErel
NPAS2	RXRA		0	reaction	-	1	ECrel
NPAS2	TGS1		0	reaction	-	1	ECrel
NR2E3	NR5A1		0	predicted	-	0.96	predicted
NR2E3	NR5A2		0	predicted	-	0.96	predicted
NR2E3	RXRA		0	predicted	-	0.98	predicted
NR2E3	SUPT4H1		0	predicted	-	0.5	predicted
NR4A3	RELA		0	predicted	-	0.54	predicted
NR4A3	RXRA		0	predicted	-	0.97	predicted
NR4A3	SIX3		0	predicted	-	0.64	predicted
NR5A1	CYP17A1	A	1			0	other
NR5A1	NR5A2		0	predicted	-	0.96	predicted
NR5A1	PRDM14		0	reaction	-	1	ECrel
NR5A1	SREBF1		0	predicted	-	0.64	predicted
NRIP2	RPS27A		0	predicted	-	0.66	predicted
NRIP2	UBC		0	predicted	-	0.7	predicted
ODF2	RAB3IP		0	complex; input	-	1	PPrel
PAWR	RELA		0	inhibite	-|	1	other
PCDHA1	PCDHA11		0	input	-	1	other
PCDHA1	PCDHA3		0	input	-	1	other
PCDHA1	PCDHAC2		0	input	-	1	other
PCDHA1	PCDHB10		0	input	-	1	other
PCDHA1	PCDHGC5		0	input	-	1	other
PCDHA10	PCDHA11		0	predicted	-	0.98	predicted
PCDHA10	PCDHA3		0	predicted	-	0.98	predicted
PCDHA11	PCDHA3		0	input	-	1	other
PCDHA11	PCDHAC2		0	input	-	1	other
PCDHA11	PCDHB10		0	input	-	1	other
PCDHA11	PCDHGC5		0	input	-	1	other
PCDHA3	PCDHAC2		0	input	-	1	other
PCDHA3	PCDHB10		0	input	-	1	other
PCDHA3	PCDHGC5		0	input	-	1	other
PCDHAC2	PCDHB10		0	input	-	1	other
PCDHAC2	PCDHGC5		0	input	-	1	other
PCDHB10	PCDHGC5		0	input	-	1	other
PIK3C2B	PLCE1		0	ECrel: compound	-	1	ECrel
PIK3C2B	PTK2B		0	catalyzed by	<-	1	PPrel
PIK3C2B	UBC		0	predicted	-	0.77	predicted
PIP4K2A	PLCE1		0	ECrel: compound	-	1	ECrel
PKLR	SREBF1		0	PPrel: activated, indirect effect; expression regulated by	<-	1	GErel
PLA2G2F	PLA2R1		0	inhibited by	|-	1	other
PLAT	UBE2D1		0	activated by	<-	1	PPrel
PLCE1	RRAS2		0	PPrel: activated by	<-	1	PPrel
PLEKHG5	RHOB		0	catalyze	->	1	PPrel
PLIN1	PRKAG3		0	GErel: expression by	<-	1	GErel
PLIN1	RXRA		0	GErel: expression by	<-	1	GErel
PLXNB3	SEMA4D		0	PPrel: activated by	<-	1	PPrel
PLXNB3	SEMA5A		0	complex; input	-	1	PPrel
PPP1R1A	PPP3R2		0	PPrel: inhibited by	|-	1	PPrel
PRDM14	GPC1	B	1			0	other
PRDM14	ISLR2	B	1			0	other
PRDM14	NFATC2	B	1			0	other
PRDM14	NGEF	B	1			0	other
PRDM14	NTN1	B	1			0	other
PRDM14	PLEKHG5	B	1			0	other
PRDM14	RUNX1	B	1			0	other
PRDM14	SIM2	B	1			0	other
PRDM14	SREBF1	B	1			0	other
PRDM14	CSMD2	B	1			0	other
PRDM14	FAM46B	B	1			0	other
PRKAG3	SESN1		0	PPrel: activated by; complex; input	<-	1	PPrel
PRKAG3	SREBF1		0	PPrel: inhibition, indirect effect	-|	1	PPrel
PSMB3	REL		0	catalyze	->	1	PPrel
PSMB3	RELA		0	catalyze	->	1	PPrel
PSMB3	RPS27A		0	catalyze	->	1	PPrel
PSMB3	TNFRSF13C		0	catalyze	->	1	PPrel
PSMB3	UBC		0	catalyze	->	1	PPrel
PSMB3	UBE2D1		0	catalyze	->	1	PPrel
PSMB3	UCHL5		0	complex; input	-	1	PPrel
PSTPIP1	WAS		0	predicted	-	0.99	predicted
PTK2B	VAV1		0	PPrel: indirect effect	-	1	PPrel
PWP2	WDR75		0	activated by; complex; input	<-	1	PPrel
RARG	RXRA		0	complex; input	-	1	PPrel
RARG	TSHZ3		0	predicted	-	0.54	predicted
RASGRF2	RHOB		0	catalyze	->	1	PPrel
RASGRF2	RRAS2		0	PPrel: activation	->	1	PPrel
REL	CCL2	A	1			0	other
REL	CD40LG	A	1			0	other
REL	IL2	A	1			0	other
REL	RELA		0	predicted	-	1	predicted
REL	RPS27A		0	input	-	1	other
REL	TNIP2		0	predicted	-	0.64	predicted
REL	UBC		0	input	-	1	other
RELA	BCL2L1	A	1			0	other
RELA	CCL11	A	1			0	other
RELA	CCL2	A	1			0	other
RELA	CD40LG	A	1			0	other
RELA	CSF1	A	1			0	other
RELA	HIF1A	A	1			0	other
RELA	IL2	A	1			0	other
RELA	MICA	A	1			0	other
RELA	MYC	A	1			0	other
RELA	NOS2	A	1			0	other
RELA	RNF25		0	predicted	-	0.64	predicted
RELA	RPS27A		0	complex; input	-	1	PPrel
RELA	RXRA		0	activated by; inhibite; predicted	<-|	1	PPrel
RELA	SIRT6		0	predicted	-	0.64	predicted
RELA	SMAD3		0	predicted	-	0.64	predicted
RELA	SMARCE1		0	complex; reaction	-	1	ECrel
RELA	SREBF1		0	activated by; inhibite	<-|	1	PPrel
RELA	TNIP2		0	activated by	<-	1	PPrel
RELA	UBC		0	complex; input	-	1	PPrel
RELA	UBE2D1		0	input; reaction	-	1	ECrel
RELA	VAV1		0	PPrel: activated, indirect effect	<-	1	PPrel
RELA	VEGFC		0	GErel: expression	->	1	GErel
RELA	ZDHHC13		0	predicted	-	0.54	predicted
RGS19	VAV1		0	predicted	-	0.92	predicted
RHOB	SEMA4D		0	catalyzed by	<-	1	PPrel
RHOB	SYDE2		0	catalyzed by	<-	1	PPrel
RHOB	VAV1		0	catalyzed by	<-	1	PPrel
RILP	TUBB6		0	PPrel: binding/association	-	1	PPrel
RNF213	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RNF213	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RNF25	UBC		0	predicted	-	0.64	predicted
RORC	RUNX1		0	GErel: expression by	<-	1	GErel
RORC	SMAD3		0	GErel: expression by	<-	1	GErel
RP2	UNC119B		0	catalyze; complex; input	->	1	PPrel
RPL11	RPL24		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL11	RPL3		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL11	RPS18		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL11	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL11	SSR1		0	complex; input	-	1	PPrel
RPL11	UPF2		0	complex; input	-	1	PPrel
RPL24	RPL3		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL24	RPS18		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL24	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL24	SSR1		0	complex; input	-	1	PPrel
RPL24	UPF2		0	complex; input	-	1	PPrel
RPL3	RPS18		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL3	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL3	SSR1		0	complex; input	-	1	PPrel
RPL3	UPF2		0	complex; input	-	1	PPrel
RPP30	RPS18		0	complex	-	1	PPrel
RPP30	RPS27A		0	complex	-	1	PPrel
RPS18	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS18	SSR1		0	complex; input	-	1	PPrel
RPS18	UPF2		0	complex; input	-	1	PPrel
RPS27A	RSPO3		0	catalyzed by; input	<-	1	PPrel
RPS27A	RSPO4		0	catalyzed by; input	<-	1	PPrel
RPS27A	SMAD3		0	catalyzed by; complex; input	<-	1	PPrel
RPS27A	SPRY1		0	catalyzed by; complex; input	<-	1	PPrel
RPS27A	SSR1		0	complex; input	-	1	PPrel
RPS27A	TLE2		0	catalyzed by; input	<-	1	PPrel
RPS27A	TNIP2		0	catalyzed by; input	<-	1	PPrel
RPS27A	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	UBE2D1		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	UBE2N		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	UCHL5		0	complex; input	-	1	PPrel
RPS27A	UPF2		0	complex; input	-	1	PPrel
RPS27A	USP1		0	catalyzed by; complex; inhibited by; input	-	1	PPrel
RPS27A	VDAC1		0	input	-	1	other
RRAS2	SMAD3		0	predicted	-	0.64	predicted
RSPO3	UBC		0	catalyze; input	->	1	PPrel
RSPO4	UBC		0	catalyze; input	->	1	PPrel
RUNX1	HIVEP3	A	1			0	other
RUNX1	IL2	A	1			0	other
RUNX1	RORC	A	1			0	other
RUNX1	SMAD3	A	1	complex; input	-	1	PPrel
RXRA	SMARCE1		0	complex	-	1	PPrel
RXRA	SREBF1	A	1	GErel: expression; reaction	->	1	GErel
RXRA	TGS1		0	complex; inhibit; input; reaction	-|	1	ECrel
RXRA	UBC		0	GErel: expression	->	1	GErel
RXRA	VWDE		0	expression regulates	->	1	GErel
SCN4A	SNTB1		0	predicted	-	0.64	predicted
SCN5A	SNTB1		0	predicted	-	0.77	predicted
SCN5A	SPTBN5		0	complex; input	-	1	PPrel
SDC3	SDC4		0	predicted	-	0.98	predicted
SDC4	TNN		0	PPrel: activated by	<-	1	PPrel
SEH1L	SESN1		0	complex; inhibit	-|	1	PPrel
SEH1L	SKA2		0	complex; input	-	1	PPrel
SEH1L	SPC25		0	complex; input	-	1	PPrel
SEH1L	THOC3		0	activate; input	->	1	PPrel
SERTAD1	SMAD3		0	predicted	-	0.64	predicted
SH2D1B	SLAMF1		0	predicted	-	0.99	predicted
SIX3	TLE2		0	predicted	-	0.54	predicted
SKA2	SPC25		0	complex; input	-	1	PPrel
SMAD3	BGLAP	A	1			0	other
SMAD3	CYP17A1	A	-1			0	other
SMAD3	EPO	A	1			0	other
SMAD3	FOXP3	A	1			0	other
SMAD3	FSTL3	A	1			0	other
SMAD3	MYC	A	1			0	other
SMAD3	UBC		0	catalyze; complex; input	->	1	PPrel
SMAD3	UBE2D1		0	catalyzed by	<-	1	PPrel
SMAD3	ZNF823		0	expression regulates	->	1	GErel
SPRY1	UBC		0	catalyze; complex; input	->	1	PPrel
SREBF1	IRS2	A	-1			0	other
SREBF1	NPC1	A	1			0	other
SREBF1	TGS1		0	reaction	-	1	ECrel
SREBF1	ZNFX1		0	expression regulates	->	1	GErel
SREBF1	PCYT2	A	1			0	other
TLE2	UBC		0	catalyze; input	->	1	PPrel
TMEM160	UBC		0	predicted	-	0.77	predicted
TNIP2	UBC		0	catalyze; input	->	1	PPrel
TPM2	TTN		0	complex	-	1	PPrel
TTC21B	TULP3		0	complex; input	-	1	PPrel
TUBA4B	TUBB6		0	complex; input	-	1	PPrel
UBC	UBE2D1		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
UBC	UBE2N		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
UBC	UCHL5		0	complex; input	-	1	PPrel
UBC	USP1		0	catalyzed by; complex; inhibited by; input	-	1	PPrel
UBC	VDAC1		0	input	-	1	other
UBE2D1	UBE2N		0	catalyze; catalyzed by; input	<->	1	PPrel
VAV1	WAS		0	activate; complex; input	->	1	PPrel
VAV1	ZAP70		0	PPrel: activated by, phosphorylation; activated by; reaction	<-	1	ECrel
WAS	ZAP70		0	predicted	-	0.54	predicted
WLS	WNT3		0	complex; input	-	1	PPrel
WLS	WNT7B		0	complex; input	-	1	PPrel
