"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"DHRS9",-2.96508350714286,1.89764741235294,-2.92019670525344,0.00527440661429804,0.932032986357353,-2.75187550011636,"DHRS9"
"PPIC",-3.75994434571429,-3.58483527254902,-2.915777170426,0.00533831573434853,0.932032986357353,-2.75805417879044,"PPIC"
"NCRNA00116",-1.55776189999999,-6.81834166666667,-2.91272504132668,0.00538287128981207,0.932032986357353,-2.76231804971221,"NCRNA00116"
"SULT1A3",-1.49405559857143,0.730625289607843,-2.91170109494764,0.0053978964100732,0.932032986357353,-2.7637479460221,"SULT1A3"
"HAS3",-1.28391973128571,-0.708846908431373,-2.91166633536095,0.00539840714734601,0.932032986357353,-2.76379648121268,"HAS3"
"FLJ42393",-1.29340453871429,-1.07961449352941,-2.91064605280873,0.00541341863543236,0.932032986357353,-2.76522096507293,"FLJ42393"
"CYP2B6",-2.16444268185714,-0.425163106470588,-2.90877573783571,0.00544103761433612,0.932032986357353,-2.76783149253612,"CYP2B6"
"OVOL2",-1.53262419999999,-7.07987874509804,-2.90799462580134,0.0054526110746335,0.932032986357353,-2.76892145965539,"OVOL2"
"HES3",-1.72237129999999,-6.86035498039216,-2.90422570109542,0.00550877643826179,0.933851423980379,-2.77417827264541,"HES3"
"CLDN16",0.99232354285714,4.05034170588235,2.89926141859008,0.00558357665365022,0.938773150161257,-2.78109636443586,"CLDN16"
"PCDHGC5",-2.20294041185714,-0.597320805490196,-2.88635067638505,0.00578255647775754,0.948827244780564,-2.79905646246097,"PCDHGC5"
"C6orf168",-2.11202419142857,-3.11471088431373,-2.88619215486,0.00578504005727055,0.948827244780564,-2.79927669331218,"C6orf168"
"C6orf223",-2.59173781714285,-6.37629045882353,-2.88546824207529,0.00579639430672483,0.948827244780564,-2.80028232212627,"C6orf223"
"WISP3",-2.50851228571428,-5.26595519607843,-2.88343444023439,0.0058284044872441,0.948827244780564,-2.80310681078575,"WISP3"
"RHPN1",-4.58790694285714,-6.70368431372549,-2.87467037884984,0.00596823046363355,0.951999514360811,-2.81526487221652,"RHPN1"
"TMEM9B",-2.23696439999999,-6.09401164705882,-2.87335524107265,0.0059894796340824,0.951999514360811,-2.81708745734008,"TMEM9B"
"ATP6V1E2",1.06324202857143,-1.5201202845098,2.87203795787131,0.00601083387640797,0.951999514360811,-2.8189125287367,"ATP6V1E2"
"HRH4",-2.59445866714286,-4.74750823333333,-2.86636920604021,0.00610353813270093,0.951999514360811,-2.82676090868862,"HRH4"
"KCNG1",3.48657138571429,-5.36373792941176,2.86325779453113,0.0061549832027463,0.951999514360811,-2.83106480394623,"KCNG1"
"HSD17B8",-1.03712511428572,2.50650165490196,-2.86300791983241,0.00615913211986395,0.951999514360811,-2.83141032737825,"HSD17B8"
"SNORD115-33",2.14787324285715,-6.68623684313726,2.85657327805016,0.00626687098579685,0.951999514360811,-2.84030198088848,"SNORD115-33"
"NTSR2",-3.19076096142857,-1.56280738688235,-2.85623130272441,0.00627264551885038,0.951999514360811,-2.84077420825539,"NTSR2"
"ANKRD20A3",-2.00994626050289,-5.70284396611237,-2.85204887156814,0.00634366978140254,0.951999514360811,-2.8465469636588,"ANKRD20A3"
"CKMT1A",-2.95124678142857,-1.05198226960784,-2.85054448395158,0.00636939853406581,0.951999514360811,-2.84862216264699,"CKMT1A"
"LIN28B",-2.65654114999999,-6.88881609215686,-2.84983238995312,0.00638161082101783,0.951999514360811,-2.84960422264606,"LIN28B"
"TCTA",-2.86439262857142,-3.87750799019608,-2.84848179683244,0.00640483292617941,0.951999514360811,-2.85146645014332,"TCTA"
"OMD",-2.06851194671428,-1.55226134117647,-2.84180509561013,0.00652078766682366,0.957191309816504,-2.86066478874089,"OMD"
"OR2C1",-2.39329328571428,-5.67542480392157,-2.83572045687684,0.00662815181838242,0.957191309816504,-2.86903635211086,"OR2C1"
"FRMD5",-1.60401737142857,0.364327434333333,-2.83030634282013,0.00672505939984127,0.957191309816504,-2.8764764386138,"FRMD5"
"PAGE2B",3.59833248571429,-3.38127619803922,2.82952592416162,0.00673913590925441,0.957191309816504,-2.87754819613261,"PAGE2B"
"ENPP3",-2.39204301285714,-0.172499837254902,-2.82666732220358,0.00679093028093863,0.957191309816504,-2.88147244670436,"ENPP3"
"WDR27",-0.505542442857145,1.74027215294118,-2.82662520244515,0.00679169618834474,0.957191309816504,-2.88153025052891,"WDR27"
"LHFPL5",-2.54943163857142,-4.02720361960784,-2.82580208515858,0.00680667985467519,0.957191309816504,-2.8826597678992,"LHFPL5"
"TMEM229A",2.14348189285714,0.0530370114509804,2.82399733386043,0.00683963996902652,0.957191309816504,-2.88513564150684,"TMEM229A"
"SPINK9",-3.26263695142857,-3.90354062431373,-2.82172444192804,0.00688135999734179,0.957191309816504,-2.88825240122083,"SPINK9"
"C10orf26",-1.36070365857143,-0.888168013333333,-2.82036576555866,0.00690641155678835,0.957191309816504,-2.89011480633202,"C10orf26"
"SEPT4",-2.92552434285714,-4.38463841176471,-2.81566339553708,0.00699376811605234,0.958847154152314,-2.89655644898207,"SEPT4"
"SH2D5",-2.91787206228571,-2.86921226509804,-2.81005982122444,0.00709920162771068,0.958847154152314,-2.9042242404114,"SH2D5"
"A2M",-2.23949252453964,-2.39995124570396,-2.80343839807379,0.00722568137025519,0.958847154152314,-2.91327303977055,"A2M"
"FANCC",-1.05585338571429,3.29182758823529,-2.79910333694266,0.00730961351772261,0.958847154152314,-2.91919036954825,"FANCC"
"FOXI1",-2.89110240142857,-2.83600555686274,-2.79625146830337,0.00736531988749974,0.958847154152314,-2.92308014873892,"FOXI1"
"OGN",-1.49043137428571,-0.203813308627451,-2.79231739143082,0.00744280967486197,0.958847154152314,-2.92844207647028,"OGN"
"SNORD76",-1.17655717428572,0.432374029392157,-2.7910571750337,0.00746779116989984,0.958847154152314,-2.93015871884231,"SNORD76"
"PPL",-1.16019244285715,2.44123169607843,-2.79069487329984,0.00747498747198333,0.958847154152314,-2.93065215273173,"PPL"
"PTGS1",-2.59353430114286,1.23739140117647,-2.78536170474427,0.00758166301037611,0.958847154152314,-2.93791114183968,"PTGS1"
"MTMR7",-1.03093269857143,2.38240040980392,-2.78486394402147,0.00759169079792644,0.958847154152314,-2.93858821699422,"MTMR7"
"MLKL",-0.836234485714291,4.55467807843137,-2.78468648442285,0.00759526882559033,0.958847154152314,-2.93882958733563,"MLKL"
"C5orf54",-1.91155828,-1.89721508019608,-2.7818830291805,0.00765200058803993,0.958847154152314,-2.94264145081593,"C5orf54"
"SNORD115-8",1.09024167142858,-7.38580192156863,2.77838688024298,0.00772329840703662,0.958847154152314,-2.94739191216267,"SNORD115-8"
"MAPK11",-3.24610867714285,-3.83690302941176,-2.77725802087682,0.00774645023083187,0.958847154152314,-2.94892499845121,"MAPK11"
"KCNQ1",-1.69140651328571,-1.95822959235294,-2.77430583355931,0.00780730008335871,0.958847154152314,-2.95293253018904,"KCNQ1"
